2[Wed, 30 Mar 2011 09:12:43 GMT] [info] [<0.31.0>] Apache CouchDB has started on http://127.0.0.1:5001/
[Wed, 30 Mar 2011 09:28:37 GMT] [info] [<0.1073.0>] 127.0.0.1 - - 'GET' / 200

[Wed, 30 Mar 2011 09:28:37 GMT] [info] [<0.1076.0>] 127.0.0.1 - - 'GET' /_session 200

[Wed, 30 Mar 2011 09:28:37 GMT] [error] [<0.1066.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:37 GMT] [info] [<0.1066.0>] 127.0.0.1 - - 'GET' /_config/native_query_servers/ 200

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1066.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1066.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1076.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1073.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1073.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:39 GMT] [info] [<0.1073.0>] 127.0.0.1 - - 'GET' /global_node/doc1?revs_info=true 200

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1076.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1066.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1066.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1076.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:39 GMT] [info] [<0.1066.0>] 127.0.0.1 - - 'GET' /_session 200

[Wed, 30 Mar 2011 09:28:39 GMT] [info] [<0.1076.0>] 127.0.0.1 - - 'GET' / 200

[Wed, 30 Mar 2011 09:28:39 GMT] [error] [<0.1076.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:50:52 GMT] [info] [<0.1077.0>] 127.0.0.1 - - 'HEAD' /global_node/ 200

